# G(2) Function
# 2024-12-12 17:10:36
# Histogram Width = 32 ns
# Events Ch. 0 = 6.302e+07 
# Events Ch. 1 = 8.702e+07 
# Integr. Time = 00:01:37 h
# G(2) Norm = 224.9 
# Fit Function = None
# Fit - A = 0 
# Fit - c = 0 ps
# Fit - B = 0 
# Fit - T_a = 0 ps
# Fit - p_f^2 = 0 
# Fit - c = 0 
# Fit - T_b = 0 ps
# Fit - T_a = 0 ps
# Unit dt: s
# Unit G(2): 1
# dt ; G(2)
-3.0075759E-008 ;  8.5358000E-001
-3.0071759E-008 ;  9.0692800E-001
-3.0067758E-008 ;  8.8025400E-001
-3.0063758E-008 ;  1.0136260E+000
-3.0059757E-008 ;  9.2915700E-001
-3.0055757E-008 ;  1.0580830E+000
-3.0051756E-008 ;  9.1582000E-001
-3.0047756E-008 ;  9.5583100E-001
-3.0043755E-008 ;  9.4694000E-001
-3.0039755E-008 ;  9.0248300E-001
-3.0035754E-008 ;  8.8025400E-001
-3.0031754E-008 ;  1.0002890E+000
-3.0027753E-008 ;  9.8695100E-001
-3.0023753E-008 ;  9.7806000E-001
-3.0019752E-008 ;  9.3360300E-001
-3.0015752E-008 ;  1.0180720E+000
-3.0011751E-008 ;  8.6691700E-001
-3.0007751E-008 ;  9.1137400E-001
-3.0003750E-008 ;  9.6472300E-001
-2.9999750E-008 ;  1.0136260E+000
-2.9995749E-008 ;  8.8914500E-001
-2.9991749E-008 ;  9.1582000E-001
-2.9987748E-008 ;  9.3360300E-001
-2.9983748E-008 ;  9.6027700E-001
-2.9979747E-008 ;  9.1137400E-001
-2.9975747E-008 ;  8.6691700E-001
-2.9971746E-008 ;  1.0625290E+000
-2.9967746E-008 ;  9.8250600E-001
-2.9963745E-008 ;  9.6916900E-001
-2.9959745E-008 ;  9.1137400E-001
-2.9955744E-008 ;  9.7361400E-001
-2.9951744E-008 ;  1.0314090E+000
-2.9947743E-008 ;  9.8695100E-001
-2.9943743E-008 ;  8.9803700E-001
-2.9939742E-008 ;  9.0692800E-001
-2.9935742E-008 ;  8.5358000E-001
-2.9931741E-008 ;  9.1137400E-001
-2.9927741E-008 ;  9.6916900E-001
-2.9923740E-008 ;  9.9584300E-001
-2.9919740E-008 ;  1.0180720E+000
-2.9915739E-008 ;  9.9584300E-001
-2.9911739E-008 ;  8.8914500E-001
-2.9907738E-008 ;  1.0136260E+000
-2.9903738E-008 ;  8.8914500E-001
-2.9899737E-008 ;  1.0269630E+000
-2.9895737E-008 ;  1.0180720E+000
-2.9891736E-008 ;  9.1137400E-001
-2.9887736E-008 ;  9.9584300E-001
-2.9883735E-008 ;  9.3804800E-001
-2.9879735E-008 ;  1.0225170E+000
-2.9875734E-008 ;  9.1582000E-001
-2.9871734E-008 ;  9.1582000E-001
-2.9867733E-008 ;  9.5138600E-001
-2.9863733E-008 ;  1.0180720E+000
-2.9859732E-008 ;  8.8025400E-001
-2.9855732E-008 ;  9.6027700E-001
-2.9851731E-008 ;  9.1582000E-001
-2.9847731E-008 ;  8.9359100E-001
-2.9843730E-008 ;  9.6916900E-001
-2.9839730E-008 ;  1.1025400E+000
-2.9835729E-008 ;  1.0269630E+000
-2.9831729E-008 ;  1.0047340E+000
-2.9827728E-008 ;  9.7806000E-001
-2.9823728E-008 ;  9.4249400E-001
-2.9819727E-008 ;  8.8470000E-001
-2.9815727E-008 ;  8.9803700E-001
-2.9811726E-008 ;  9.0248300E-001
-2.9807726E-008 ;  9.5583100E-001
-2.9803725E-008 ;  9.4249400E-001
-2.9799725E-008 ;  1.0269630E+000
-2.9795724E-008 ;  1.0136260E+000
-2.9791724E-008 ;  8.7136300E-001
-2.9787723E-008 ;  8.9803700E-001
-2.9783723E-008 ;  1.0491920E+000
-2.9779722E-008 ;  9.9139700E-001
-2.9775722E-008 ;  1.0002890E+000
-2.9771721E-008 ;  9.1582000E-001
-2.9767721E-008 ;  1.0358550E+000
-2.9763720E-008 ;  9.8695100E-001
-2.9759720E-008 ;  9.9139700E-001
-2.9755719E-008 ;  1.0136260E+000
-2.9751719E-008 ;  1.0491920E+000
-2.9747718E-008 ;  9.8695100E-001
-2.9743718E-008 ;  8.4468800E-001
